fecha	rank	iteracion_bayesiana	qsemillas	semilla	corte	ganancia	metrica
20240916.175152	1	52	1	936731	9000	57.277	57.277
20240916.175201	1	52	1	936731	9500	56.647	56.647
20240916.175209	1	52	1	936731	10000	59.567	59.567
20240916.175217	1	52	1	936731	10500	58.507	58.507
20240916.175225	1	52	1	936731	11000	57.407	57.407
20240916.175233	1	52	1	936731	11500	57.367	57.367
20240916.175241	1	52	1	936731	12000	56.507	56.507
20240916.175250	1	52	1	936731	12500	57.217	57.217
20240916.175258	1	52	1	936731	13000	56.987	56.987
20240916.175307	1	52	1	403387	9000	58.217	58.217
20240916.175314	1	52	1	403387	9500	58.617	58.617
20240916.175322	1	52	1	403387	10000	58.457	58.457
20240916.175331	1	52	1	403387	10500	58.197	58.197
20240916.175339	1	52	1	403387	11000	58.687	58.687
20240916.175347	1	52	1	403387	11500	59.917	59.917
20240916.175355	1	52	1	403387	12000	59.227	59.227
20240916.175403	1	52	1	403387	12500	59.427	59.427
20240916.175411	1	52	1	403387	13000	58.407	58.407
20240916.175420	1	52	1	580889	9000	58.607	58.607
20240916.175427	1	52	1	580889	9500	58.987	58.987
20240916.175436	1	52	1	580889	10000	59.057	59.057
20240916.175444	1	52	1	580889	10500	59.117	59.117
20240916.175452	1	52	1	580889	11000	58.467	58.467
20240916.175459	1	52	1	580889	11500	58.527	58.527
20240916.175508	1	52	1	580889	12000	58.337	58.337
20240916.175515	1	52	1	580889	12500	57.767	57.767
20240916.175523	1	52	1	580889	13000	57.177	57.177
20240916.175532	1	52	1	591127	9000	57.837	57.837
20240916.175540	1	52	1	591127	9500	59.247	59.247
20240916.175548	1	52	1	591127	10000	58.117	58.117
20240916.175556	1	52	1	591127	10500	58.577	58.577
20240916.175604	1	52	1	591127	11000	58.147	58.147
20240916.175612	1	52	1	591127	11500	57.557	57.557
20240916.175620	1	52	1	591127	12000	57.837	57.837
20240916.175628	1	52	1	591127	12500	57.577	57.577
20240916.175635	1	52	1	591127	13000	57.627	57.627
20240916.175644	1	52	1	819563	9000	57.947	57.947
20240916.175652	1	52	1	819563	9500	57.907	57.907
20240916.175700	1	52	1	819563	10000	58.607	58.607
20240916.175708	1	52	1	819563	10500	57.837	57.837
20240916.175716	1	52	1	819563	11000	58.137	58.137
20240916.175724	1	52	1	819563	11500	58.337	58.337
20240916.175732	1	52	1	819563	12000	57.387	57.387
20240916.175740	1	52	1	819563	12500	57.037	57.037
20240916.175748	1	52	1	819563	13000	57.207	57.207
20240916.175750	1	52	5	-1	9000	57.977	57.977
20240916.175752	1	52	5	-1	9500	58.281	58.281
20240916.175754	1	52	5	-1	10000	58.761	58.761
20240916.175755	1	52	5	-1	10500	58.447	58.447
20240916.175757	1	52	5	-1	11000	58.169	58.169
20240916.175759	1	52	5	-1	11500	58.341	58.341
20240916.175802	1	52	5	-1	12000	57.859	57.859
20240916.175803	1	52	5	-1	12500	57.805	57.805
20240916.175805	1	52	5	-1	13000	57.481	57.481
