fecha	rank	iteracion_bayesiana	qsemillas	semilla	corte	ganancia	metrica
20241019.211038	1	21	1	-1	1600	8.659	8.659
20241019.211114	1	21	1	-1	1700	8.439	8.439
20241019.211148	1	21	1	-1	1800	8.149	8.149
20241019.211223	1	21	1	-1	1900	7.839	7.839
20241019.211257	1	21	1	-1	2000	7.569	7.569
20241019.211332	1	21	1	-1	2100	7.709	7.709
20241019.211407	1	21	1	-1	2200	7.449	7.449
20241019.211408	1	21	1	-1	1600	8.659	8.659
20241019.211409	1	21	1	-1	1700	8.439	8.439
20241019.211411	1	21	1	-1	1800	8.149	8.149
20241019.211412	1	21	1	-1	1900	7.839	7.839
20241019.211413	1	21	1	-1	2000	7.569	7.569
20241019.211415	1	21	1	-1	2100	7.709	7.709
20241019.211416	1	21	1	-1	2200	7.449	7.449
