fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	max_bin	num_iterations	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	num_leaves	min_data_in_leaf	lambda_l1	lambda_l2	min_gain_to_split	pos_bagging_fraction	neg_bagging_fraction	feature_fraction	bagging_fraction	bagging_freq	min_sum_hessian_in_leaf	max_delta_step	estimulos	qsemillas	ganancia	metrica	iteracion_bayesiana
20241005.202040	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	31	110	FALSE	1	0.1	50	0.5	FALSE	662287	0.0612455237870032	4254	14304	316.637775919298	733.175074476174	6.70037364636996	0.66793852734542	0.723521177168027	0.528727959624427	0.318301413928893	9	6.79661783404173	5.17479934273211	2092	1	10609586.0349127	10609586.0349127	1
20241005.202056	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	31	1	FALSE	1	0.1	50	0.5	FALSE	662287	0.0572243137081753	3692	40013	242.044567649678	505.416906846599	8.8513517033032	0.353549582875622	0.438182726360411	0.38850771984524	0.665479019237329	5	8.14448646073071	1.56649105476129	201	1	-503648.379052369	-503648.379052369	2
20241005.202106	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	31	32	FALSE	1	0.1	50	0.5	FALSE	662287	0.0861684323662273	2121	5272	797.047724477786	532.827665593278	11.9536636978908	0.71314692261332	0.528568408416136	0.704941002174934	0.944971167257253	8	7.9813659442609	5.47366968558999	3350	1	10059127.1820449	10059127.1820449	3
20241005.202123	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	31	44	FALSE	1	0.1	50	0.5	FALSE	662287	0.080984519839352	3387	12914	171.127405116093	778.685007398957	7.41726536332926	0.395326223960721	0.640926577681684	0.340968800192477	0.760872483564652	8	7.05659368171302	3.15969657791061	2570	1	10412992.5187032	10412992.5187032	4
20241005.202137	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	31	1	FALSE	1	0.1	50	0.5	FALSE	662287	0.0938377008903171	5587	29385	636.725255256699	726.670855866306	6.44589384515729	0.446665469907787	0.784975866014312	0.306518241369547	0.515873242173133	2	5.70252211624971	5.81448933055694	201	1	-503648.379052369	-503648.379052369	5
20241005.202150	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	31	52	FALSE	1	0.1	50	0.5	FALSE	662287	0.0479432437509985	1843	7793	364.594411264506	187.272191948531	15.6365620096154	0.50049847803039	0.559693695210543	0.58780924498455	0.377592609022805	4	7.81253337905044	2.99862240061943	2500	1	10390174.563591	10390174.563591	6
20241005.202158	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	31	1	FALSE	1	0.1	50	0.5	FALSE	662287	0.0437244697257852	6366	35063	432.461541725538	997.61854103916	5.7963661664734	0.322506992429511	0.507696537895315	0.823132821823527	0.683561500990679	2	0.392410247650737	6.18552360662467	201	1	-503648.379052369	-503648.379052369	7
20241005.202206	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	31	1	FALSE	1	0.1	50	0.5	FALSE	662287	0.11289905475115	4357	26270	770.512832260331	298.673113807496	4.03883327203454	0.268760474606996	0.328581359148939	0.708452020095774	0.73130810137027	4	6.66223240755993	4.77622913796533	201	1	-503648.379052369	-503648.379052369	8
20241005.202215	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	31	1	FALSE	1	0.1	50	0.5	FALSE	662287	0.0729066920442488	4085	20155	401.659990231553	308.977800777146	16.7648745398435	0.795004226117635	0.312532345772622	0.785201289225088	0.236272648822789	4	0.822193393935287	8.05560558649026	201	1	-503648.379052369	-503648.379052369	9
20241005.202228	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	31	1	FALSE	1	0.1	50	0.5	FALSE	662287	0.111918314621786	4991	40667	134.168138214161	594.166575066623	14.653915689366	0.553849821272842	0.5375145620772	0.54495239399931	0.698359326491949	5	8.73557300165348	4.98755263422262	201	1	-503648.379052369	-503648.379052369	10
