fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	max_bin	num_iterations	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	num_leaves	min_data_in_leaf	lambda_l1	lambda_l2	min_gain_to_split	pos_bagging_fraction	neg_bagging_fraction	feature_fraction	bagging_fraction	bagging_freq	min_sum_hessian_in_leaf	max_delta_step	estimulos	qsemillas	ganancia	metrica	iteracion_bayesiana
20241005.202040	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	31	110	FALSE	1	0.1	50	0.5	FALSE	662287	0.0612455237870032	4254	14304	316.637775919298	733.175074476174	6.70037364636996	0.66793852734542	0.723521177168027	0.528727959624427	0.318301413928893	9	6.79661783404173	5.17479934273211	2092	1	10609586.0349127	10609586.0349127	1
20241005.202534	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	31	299	FALSE	1	0.1	50	0.5	FALSE	662287	0.118212336668085	2555	24245	5.45251889846737	605.06602662042	2.83817019402071	0.673893600242146	0.937210834748884	0.678129896415241	0.173390592120627	6	6.44950638421247	1.77910441547414	2634	1	11488324.1895262	11488324.1895262	27
20241005.202840	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	31	68	FALSE	1	0.1	50	0.5	FALSE	662287	0.124046447025417	1100	9662	48.3745029968139	280.636303460343	17.9743018821153	0.926931143524695	0.876430549129471	0.629549847459112	0.363218011260955	3	0.200492378022153	4.2518121045638	2244	1	11549596.0099751	11549596.0099751	44
20241005.203446	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	31	92	FALSE	1	0.1	50	0.5	FALSE	662287	0.124986298704827	3405	8260	28.8902504422791	501.794930365999	10.9183779921683	0.648504631577875	0.876141007395212	0.559537061896766	0.294192976504828	5	1.59714818061756	3.69498126690956	2065	1	11710436.4089776	11710436.4089776	69
20241005.203701	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	31	149	FALSE	1	0.1	50	0.5	FALSE	662287	0.134496992606334	2233	8232	20.5250718412662	600.358013461335	5.36898999451308	0.80033328428389	0.730212555556824	0.393550814032698	0.903773572630176	5	6.49154628956725	0.862866526830731	2297	1	11995683.2917706	11995683.2917706	77
20241005.204546	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	31	62	FALSE	1	0.1	50	0.5	FALSE	662287	0.141324152188002	1344	11496	2.90004131611114	59.4398699588467	16.0607501485096	0.88972791153512	0.886828701032224	0.569492438476554	0.104764505143983	1	3.08566539734449	3.35643193006202	2381	1	12023184.5386534	12023184.5386534	103
20241005.215653	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	31	431	FALSE	1	0.1	50	0.5	FALSE	662287	0.0350189423667717	7256	255	4.64638262776325	209.841554772481	0.51309735299552	0.141655930673991	0.584022994384753	0.925068150601237	0.745216832707047	1	6.56410409543598	4.55173768734333	2454	1	12132463.840399	12132463.840399	243
20241005.215820	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	31	700	FALSE	1	0.1	50	0.5	FALSE	662287	0.030648483102068	7272	563	1.77881311791912	202.79418944828	1.47247105058536	0.139649395490383	0.616774120790544	0.721461680608297	0.660568567399787	1	9.10481998230486	4.73196099949903	2447	1	12219000	12219000	245
20241005.222828	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	31	890	FALSE	1	0.1	50	0.5	FALSE	662287	0.0493071836689262	41	5042	1.10296661129859	206.556778670626	3.02197910378858	0.35594913972767	0.602924030053049	0.281708308713865	0.959589548554975	8	4.74152903677866	6.35596817201559	2555	1	12263678.3042394	12263678.3042394	289
20241005.223011	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	31	601	FALSE	1	0.1	50	0.5	FALSE	662287	0.0339581152244709	605	3773	3.13137323848106	162.942244936396	2.1691942184732	0.315719870606701	0.673729937444153	0.297937410646398	0.991606241604427	8	4.79855787412039	4.56525994305859	2245	1	12356970.074813	12356970.074813	291
20241005.223700	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	31	664	FALSE	1	0.1	50	0.5	FALSE	662287	0.0677923705395322	745	6417	2.73477665819829	187.873972818469	0.121892531762174	0.369154954094303	0.683021142082016	0.33107782814793	0.856142610860109	8	1.06490702692522	5.2415629900237	2433	1	12584491.2718204	12584491.2718204	300
20241005.230617	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	31	360	FALSE	1	0.1	50	0.5	FALSE	662287	0.131048060260617	3475	6239	5.05305017879688	19.8091146746931	0.188639061146054	0.254909651826133	0.681505917848944	0.50080363101323	0.141770133683343	8	0.00320071369313249	8.26313152463517	2760	1	12631122.1945137	12631122.1945137	334
