fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	learning_rate	feature_fraction	min_data_in_leaf	seed	num_leaves	estimulos	qsemillas	ganancia	metrica	iteracion_bayesiana
20241007.160451	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	8	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.2	0.5	80	662287	67	2444	1	11169246.882793	11169246.882793	1
20241007.160512	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	12	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.2	0.5	80	662287	44	2227	1	11844486.2842893	11844486.2842893	2
20241007.160546	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	199	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.2	0.5	80	662287	96	3284	1	11242563.5910224	11242563.5910224	3
20241007.160603	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	18	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.2	0.5	80	662287	20	2720	1	10694962.5935162	10694962.5935162	4
20241007.160623	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	12	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.2	0.5	80	662287	44	2227	1	11844486.2842893	11844486.2842893	5
20241007.160657	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	205	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.2	0.5	80	662287	97	3344	1	11071840.3990025	11071840.3990025	6
20241007.160717	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	11	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.2	0.5	80	662287	45	3268	1	11121486.2842893	11121486.2842893	7
20241007.160741	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	58	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.2	0.5	80	662287	43	2561	1	11530466.3341646	11530466.3341646	8
20241007.160816	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	365	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.2	0.5	80	662287	42	2601	1	11423633.4164589	11423633.4164589	9
20241007.160836	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	6	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.2	0.5	80	662287	41	2874	1	11184284.2892768	11184284.2892768	10
20241007.160909	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	159	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.2	0.5	80	662287	94	3441	1	11150117.2069825	11150117.2069825	11
20241007.160937	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	103	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.2	0.5	80	662287	80	2535	1	10730162.0947631	10730162.0947631	12
20241007.161007	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	158	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.2	0.5	80	662287	65	2287	1	10153862.8428928	10153862.8428928	13
20241007.161036	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	101	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.2	0.5	80	662287	69	2439	1	12058960.0997506	12058960.0997506	14
20241007.161100	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	22	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.2	0.5	80	662287	70	2371	1	11173084.7880299	11173084.7880299	15
