fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_sum_hessian_in_leaf	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	feature_fraction	extra_trees	seed	learning_rate	num_leaves	min_data_in_leaf	lambda_l1	lambda_l2	min_gain_to_split	estimulos	qsemillas	ganancia	metrica	iteracion_bayesiana
20241010.142256	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0.001	31	86	1	1	1	FALSE	1	0.1	50	0.5	0.5	FALSE	662287	0.110453526906436	3216	27612	568.477848019892	675.805189489673	9.34886976173883	2512	1	10578314.2144638	10578314.2144638	1
20241010.142312	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0.001	31	1	1	1	1	FALSE	1	0.1	50	0.5	0.5	FALSE	662287	0.0845856969914341	3880	33029	315.150575134075	608.978854282346	5.07723521058562	201	1	-503648.379052369	-503648.379052369	2
20241010.142333	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0.001	31	164	1	1	1	FALSE	1	0.1	50	0.5	0.5	FALSE	662287	0.0496051900936592	2229	5020	137.682061732425	256.052486816984	2.56615103290558	2635	1	11271957.605985	11271957.605985	3
20241010.142357	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0.001	31	208	1	1	1	FALSE	1	0.1	50	0.5	0.5	FALSE	662287	0.0361369486403967	2723	22104	246.658867949718	662.487583252349	10.4717554345553	2864	1	10547551.1221945	10547551.1221945	4
20241010.142415	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0.001	31	46	1	1	1	FALSE	1	0.1	50	0.5	0.5	FALSE	662287	0.101824953263084	6829	26535	586.71312637824	956.544826455694	7.67690905372855	2418	1	10093630.9226933	10093630.9226933	5
20241010.142435	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0.001	31	89	1	1	1	FALSE	1	0.1	50	0.5	0.5	FALSE	662287	0.067763162049559	1094	8840	482.632657139933	507.035562421375	4.46624126339134	2318	1	10902059.8503741	10902059.8503741	6
20241010.142449	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0.001	31	1	1	1	1	FALSE	1	0.1	50	0.5	0.5	FALSE	662287	0.118781825591954	5702	37718	344.764165823656	4.20638070090841	12.6189190554204	201	1	-503648.379052369	-503648.379052369	7
20241010.142505	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0.001	31	11	1	1	1	FALSE	1	0.1	50	0.5	0.5	FALSE	662287	0.116942149612735	5316	7731	660.699344071988	302.286494540654	15.1599342484492	2501	1	10452112.2194514	10452112.2194514	8
20241010.142519	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0.001	31	1	1	1	1	FALSE	1	0.1	50	0.5	0.5	FALSE	662287	0.126425744341854	4443	31224	717.463945704425	462.238421854992	7.41913075438837	201	1	-503648.379052369	-503648.379052369	9
20241010.142533	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0.001	31	1	1	1	1	FALSE	1	0.1	50	0.5	0.5	FALSE	662287	0.0619142365744325	2993	40679	97.0003162222427	874.184916729536	12.0564497513095	201	1	-503648.379052369	-503648.379052369	10
