Feature	Gain	Cover	Frequency
ctrx_quarter	0.207241098337293	0.160493827160494	0.160493827160494
ctrx_quarter_normalizado_lag1	0.129255224230823	0.0617283950617284	0.0617283950617284
ctrx_quarter_normalizado	0.125724417601724	0.0864197530864198	0.0864197530864198
cpayroll_trx	0.0868305596431911	0.0246913580246914	0.0246913580246914
rf_014_012	0.0610488802877371	0.0740740740740741	0.0740740740740741
mcaja_ahorro_rank	0.0530852245642903	0.0493827160493827	0.0493827160493827
rf_010_008	0.0495227740455655	0.0617283950617284	0.0617283950617284
mtarjeta_visa_consumo_rank	0.0466305992737293	0.0617283950617284	0.0617283950617284
rf_018_006	0.0426679227008969	0.111111111111111	0.111111111111111
ctrx_quarter_lag1	0.0424758972558025	0.037037037037037	0.037037037037037
rf_013_005	0.0388445064958732	0.0123456790123457	0.0123456790123457
rf_005_010	0.0364886122791463	0.0740740740740741	0.0740740740740741
rf_008_005	0.017607460578864	0.0987654320987654	0.0987654320987654
mpasivos_margen_rank_lag1	0.0152714336518549	0.0123456790123457	0.0123456790123457
rf_012_010	0.0136418963352516	0.0246913580246914	0.0246913580246914
ctarjeta_visa_transacciones	0.0119043554936082	0.0123456790123457	0.0123456790123457
mpasivos_margen_rank	0.0109399676448526	0.0123456790123457	0.0123456790123457
mcuentas_saldo_rank	0.00955019258839626	0.0123456790123457	0.0123456790123457
rf_016_007	0.00126897699110043	0.0123456790123457	0.0123456790123457
