fecha	rank	iteracion_bayesiana	qsemillas	semilla	corte	ganancia	metrica
20241012.144603	1	334	1	897191	1600	6.619	6.619
20241012.144610	1	334	1	897191	1700	6.319	6.319
20241012.144616	1	334	1	897191	1800	5.969	5.969
20241012.144622	1	334	1	897191	1900	5.719	5.719
20241012.144629	1	334	1	897191	2000	5.829	5.829
20241012.144635	1	334	1	897191	2100	5.909	5.909
20241012.144642	1	334	1	897191	2200	6.019	6.019
20241012.144648	1	334	1	830741	1600	7.009	7.009
20241012.144654	1	334	1	830741	1700	7.139	7.139
20241012.144700	1	334	1	830741	1800	6.859	6.859
20241012.144706	1	334	1	830741	1900	6.609	6.609
20241012.144712	1	334	1	830741	2000	6.279	6.279
20241012.144719	1	334	1	830741	2100	6.359	6.359
20241012.144725	1	334	1	830741	2200	6.419	6.419
20241012.144731	1	334	1	691001	1600	5.089	5.089
20241012.144737	1	334	1	691001	1700	5.539	5.539
20241012.144744	1	334	1	691001	1800	5.219	5.219
20241012.144750	1	334	1	691001	1900	5.359	5.359
20241012.144756	1	334	1	691001	2000	5.449	5.449
20241012.144802	1	334	1	691001	2100	5.169	5.169
20241012.144808	1	334	1	691001	2200	6.079	6.079
20241012.144815	1	334	1	547471	1600	5.839	5.839
20241012.144821	1	334	1	547471	1700	5.889	5.889
20241012.144827	1	334	1	547471	1800	6.009	6.009
20241012.144834	1	334	1	547471	1900	6.119	6.119
20241012.144840	1	334	1	547471	2000	6.239	6.239
20241012.144846	1	334	1	547471	2100	6.339	6.339
20241012.144853	1	334	1	547471	2200	6.469	6.469
20241012.144859	1	334	1	885769	1600	4.659	4.659
20241012.144905	1	334	1	885769	1700	5.179	5.179
20241012.144911	1	334	1	885769	1800	5.639	5.639
20241012.144918	1	334	1	885769	1900	6.509	6.509
20241012.144924	1	334	1	885769	2000	6.969	6.969
20241012.144931	1	334	1	885769	2100	6.589	6.589
20241012.144937	1	334	1	885769	2200	6.329	6.329
20241012.144943	1	334	1	517861	1600	7.459	7.459
20241012.144949	1	334	1	517861	1700	7.139	7.139
20241012.144955	1	334	1	517861	1800	6.879	6.879
20241012.145002	1	334	1	517861	1900	6.869	6.869
20241012.145008	1	334	1	517861	2000	6.629	6.629
20241012.145015	1	334	1	517861	2100	6.339	6.339
20241012.145021	1	334	1	517861	2200	6.069	6.069
20241012.145028	1	334	1	201167	1600	7.349	7.349
20241012.145034	1	334	1	201167	1700	7.059	7.059
20241012.145040	1	334	1	201167	1800	6.809	6.809
20241012.145046	1	334	1	201167	1900	6.929	6.929
20241012.145052	1	334	1	201167	2000	7.009	7.009
20241012.145059	1	334	1	201167	2100	7.019	7.019
20241012.145105	1	334	1	201167	2200	6.789	6.789
20241012.145112	1	334	1	914951	1600	6.269	6.269
20241012.145118	1	334	1	914951	1700	6.779	6.779
20241012.145124	1	334	1	914951	1800	6.869	6.869
20241012.145130	1	334	1	914951	1900	6.999	6.999
20241012.145136	1	334	1	914951	2000	6.669	6.669
20241012.145142	1	334	1	914951	2100	6.819	6.819
20241012.145148	1	334	1	914951	2200	6.549	6.549
20241012.145155	1	334	1	558209	1600	5.699	5.699
20241012.145201	1	334	1	558209	1700	6.249	6.249
20241012.145208	1	334	1	558209	1800	6.799	6.799
