envios	gan_sum_1	p_value
100	1515000	0.0000000366012346166055
200	3180000	0.000000036317690046927
300	3951000	0.0000000362022490095767
400	4482000	0.0000000360488265632587
500	5091000	0.0000000365237130788604
600	5916000	0.0000000364979044718864
700	6744000	0.0000000367437309498405
800	7461000	0.0000000361382537780518
900	8205000	0.0000000366271070625778
1000	8781000	0.0000000364334526690215
1100	9375000	0.0000000365108067824878
1200	9855000	0.000000193857373267107
1300	10251000	0.0000152332434533281
1400	10629000	0.00644992641174388
1500	10965000	0.550743000404729
1600	11196000	0.218096903472614
1700	11391000	0.00466021638086265
1800	11673000	0.0000125805103882962
1900	11865000	0.000000573397401416215
2000	12027000	0.0000000794852295688439
2100	12189000	0.0000000733370732380758
2200	12264000	0.0000000365753781428868
2300	12336000	0.0000000366012346166055
2400	12423000	0.0000000363819628644964
2500	12477000	0.0000000365753781428868
2600	12510000	0.0000000392108705311387
2700	12522000	0.0000000364850061460149
2800	12516000	0.0000000362406936704054
2900	12510000	0.0000000362920087184296
3000	12477000	0.0000000365624558930167
3100	12438000	0.0000000393629444502555
3200	12411000	0.0000000456347103443025
3300	12330000	0.000000100063837353027
3400	12222000	0.0000000611155866449354
3500	12162000	0.0000000703127012086609
3600	12114000	0.0000000575273182943712
3700	12030000	0.000000185242553786059
3800	11997000	0.000000320485762901345
3900	11919000	0.000000430177960371543
4000	11832000	0.000000872763128751583
4100	11739000	0.00000491847107634549
4200	11637000	0.0000170847461786028
4300	11517000	0.000400933105015022
4400	11415000	0.00415982408346676
4500	11334000	0.0178032254137189
4600	11202000	0.133330600660753
4700	11079000	0.559872506985388
4800	11022000	0.973159582751373
4900	10881000	0.348932330096477
5000	10713000	0.0237815000385903
5100	10539000	0.00100449356188249
5200	10365000	0.0000361620976757052
5300	10194000	0.00000350364056012579
5400	10053000	0.000000519743675521972
5500	9909000	0.000000247012129698016
5600	9696000	0.0000000746189134800404
5700	9486000	0.0000000604803297154901
5800	9282000	0.000000040718584760421
5900	9090000	0.0000000534864545021308
6000	8889000	0.0000000362406936704054
6100	8703000	0.0000000365237130788604
6200	8517000	0.0000000362920087184296
6300	8325000	0.0000000364205742511952
6400	8115000	0.0000000364463350663764
6500	7938000	0.000000036317690046927
6600	7773000	0.0000000364592214443004
6700	7563000	0.0000000365883043837358
6800	7371000	0.000000036304847398107
6900	7167000	0.0000000365883043837358
7000	6960000	0.0000000366012346166055
7100	6753000	0.0000000365753781428868
7200	6540000	0.0000000366141688425387
7300	6336000	0.0000000364076998118585
7400	6126000	0.0000000365753781428868
7500	5904000	0.0000000364463350663764
7600	5679000	0.0000000367307567358936
7700	5442000	0.0000000364334526690215
7800	5247000	0.0000000366012346166055
7900	5001000	0.0000000365495376330834
8000	4758000	0.000000036176639041666
8100	4533000	0.0000000364334526690215
8200	4299000	0.0000000364463350663764
8300	4062000	0.0000000361894420457143
8400	3834000	0.0000000362022490095767
8500	3585000	0.0000000363948293499721
8600	3330000	0.0000000366529954891458
8700	3087000	0.0000000363305366659276
8800	2826000	0.0000000362150599342886
8900	2574000	0.0000000365108067824878
9000	2331000	0.0000000359341329535367
9100	2067000	0.0000000360233114818869
9200	1812000	0.0000000362920087184296
9300	1551000	0.0000000360233114818869
9400	1284000	0.0000000359086888417951
9500	1026000	0.0000000359978121859947
9600	768000	0.000000036304847398107
9700	501000	0.0000000362022490095767
9800	234000	0.0000000365237130788604
9900	-39000	0.0000000365883043837358
10000	-288000	0.0000000363433872561467
